XNSE/JBFIND_UADJ,JBF Industries Ltd. (JBFIND) Unadjusted Stock Prices
XNSE/INDNIPPON_UADJ,India Nippon Electricals Ltd. (INDNIPPON) Unadjusted Stock Prices
XNSE/MFDWSFMP71RG_UADJ,Deutsche Asset Management (India) Pvt Ltd (MFDWSFMP71RG) Unadjusted Stock Prices
XNSE/RANASUG_UADJ,Rana Sugars Ltd. (RANASUG) Unadjusted Stock Prices
XNSE/MFRDAFTIIIDG_UADJ,Reliance Nippon Life Asset Management Ltd. (MFRDAFTIIIDG) Unadjusted Stock Prices
XNSE/SIGNET_UADJ,Signet Industries Ltd. (SIGNET) Unadjusted Stock Prices
XNSE/SB_TINTL_UADJ,S.B.& T. International Ltd. (SB.TINTL) Unadjusted Stock Prices
XNSE/AXISGOLD_UADJ,Axis Asset Management Company Limited (AXISGOLD) Unadjusted Stock Prices
XNSE/VMART_UADJ,V-Mart Retail Ltd (VMART) Unadjusted Stock Prices
XNSE/INVENTURE_UADJ,Inventure Growth and Securities Ltd (INVENTURE) Unadjusted Stock Prices
XNSE/CPSEETF_UADJ,Goldman Sachs Asset Management (India) Pvt. Ltd. (CPSEETF) Unadjusted Stock Prices
XNSE/OSWALMIN_UADJ,Oswal Minerals Ltd (OSWALMIN) Unadjusted Stock Prices
XNSE/BLOWPLAST_UADJ,Blow Plast Ltd. (BLOWPLAST) Unadjusted Stock Prices
XNSE/SILINV_UADJ,SIL Investments Ltd. (SILINV) Unadjusted Stock Prices
XNSE/HINDALCO_UADJ,Hindalco Industries Ltd. (HINDALCO) Unadjusted Stock Prices
XNSE/KIL_UADJ,Kamdhenu Ltd. (KIL) Unadjusted Stock Prices
XNSE/ANDHRSUGAR_UADJ,Andhra Sugars Ltd. (ANDHRSUGAR) Unadjusted Stock Prices
XNSE/3MINDIA_UADJ,3M India Ltd. (3MINDIA) Unadjusted Stock Prices
XNSE/AGCNET_UADJ,AGC Networks Ltd. (AGCNET) Unadjusted Stock Prices
XNSE/ROLTA_UADJ,Rolta India Ltd. (ROLTA) Unadjusted Stock Prices
XNSE/MFJ502G_UADJ,JP Morgan Asset Management India Pvt Ltd (MFJ502G) Unadjusted Stock Prices
XNSE/MFBSLRGES1RG_UADJ,Birla Sun Life Asset Management Company Ltd (MFBSLRGES1RG) Unadjusted Stock Prices
XNSE/PALREDTECH_UADJ,Palred Technologies Ltd. (PALREDTECH) Unadjusted Stock Prices
XNSE/W1BAJAUTOFIN_UADJ,Bajaj Finance Ltd (W1BAJAUTOFIN) Unadjusted Stock Prices
XNSE/VICEROY_UADJ,Viceroy Hotels Ltd. (VICEROY) Unadjusted Stock Prices
XNSE/NATIONALUM_UADJ,National Aluminium Co. Ltd. (NATIONALUM) Unadjusted Stock Prices
XNSE/EMMBI_UADJ,Emmbi Industries Ltd (EMMBI) Unadjusted Stock Prices
XNSE/FKONCO_UADJ,Fresenius Kabi Oncology Ltd (FKONCO) Unadjusted Stock Prices
XNSE/KRISHNAENG_UADJ,Krishna Engineering Works Ltd. (KRISHNAENG) Unadjusted Stock Prices
XNSE/NAKODA_UADJ,Nakoda Ltd. (NAKODA) Unadjusted Stock Prices
XNSE/JAINSTUDIO_UADJ,Jain Studios Ltd. (JAINSTUDIO) Unadjusted Stock Prices
XNSE/NBIIFLFIN_UADJ,India Infoline Finance Ltd (NBIIFLFIN) Unadjusted Stock Prices
XNSE/TIMESGTY_UADJ,Times Guaranty Ltd. (TIMESGTY) Unadjusted Stock Prices
XNSE/GAIL_UADJ,Gail (India) Ltd. (GAIL) Unadjusted Stock Prices
XNSE/VOLTAS_UADJ,Voltas Ltd. (VOLTAS) Unadjusted Stock Prices
XNSE/DHAMPURSUG_UADJ,Dhampur Sugar Mills Ltd (DHAMPURSUG) Unadjusted Stock Prices
XNSE/BODALCHEM_UADJ,Bodal Chemicals Ltd. (BODALCHEM) Unadjusted Stock Prices
XNSE/MFUFTFGR16P7_UADJ,UTI Asset Management Company Ltd (MFUFTFGR16P7) Unadjusted Stock Prices
XNSE/STEL_UADJ,STEL Holdings Ltd (STEL) Unadjusted Stock Prices
XNSE/N1ICIBK1107_UADJ,ICICI Bank Ltd. (N1ICIBK1107) Unadjusted Stock Prices
XNSE/RUBYMILLS_UADJ,Ruby Mills Ltd. (RUBYMILLS) Unadjusted Stock Prices
XNSE/AUTOIND_UADJ,Autoline Industries Ltd. (AUTOIND) Unadjusted Stock Prices
XNSE/ELDERPHARM_UADJ,Elder Pharmaceuticals Ltd. (ELDERPHARM) Unadjusted Stock Prices
XNSE/UTISENSETF_UADJ,UTI Asset Management Company Ltd (UTISENSETF) Unadjusted Stock Prices
XNSE/UTINIFTETF_UADJ,UTI Asset Management Company Ltd (UTINIFTETF) Unadjusted Stock Prices
XNSE/SMOPAL_UADJ,Opal Luxury Time Products Ltd (SMOPAL) Unadjusted Stock Prices
XNSE/MFRELDUALGPA_UADJ,Reliance Capital Asset Management Ltd (MFRELDUALGPA) Unadjusted Stock Prices
XNSE/GLORY_UADJ,Glory Films Ltd (GLORY) Unadjusted Stock Prices
XNSE/BLUEBLENDS_UADJ,Blue Blends (India) Ltd. (BLUEBLENDS) Unadjusted Stock Prices
XNSE/AXISCADES_UADJ,AXISCADES Engineering Technologies Ltd (AXISCADES) Unadjusted Stock Prices
XNSE/BGLOBAL_UADJ,Bharatiya Global Infomedia Ltd (BGLOBAL) Unadjusted Stock Prices
XNSE/CGCL_UADJ,Capri Global Capital Ltd (CGCL) Unadjusted Stock Prices
XNSE/MERCATOR_UADJ,Mercator Ltd (MERCATOR) Unadjusted Stock Prices
XNSE/N4SRTRANSFIN_UADJ,Shriram Transport Finance Co. Ltd. (N4SRTRANSFIN) Unadjusted Stock Prices
XNSE/KALINDEE_UADJ,Kalindee Rail Nirman (Engineers) Ltd. (KALINDEE) Unadjusted Stock Prices
XNSE/ERAINFRA_UADJ,Era Infra Engineering Ltd. (ERAINFRA) Unadjusted Stock Prices
XNSE/UMESLTD_UADJ,Usha Martin Education & Solutions Ltd (UMESLTD) Unadjusted Stock Prices
XNSE/INDIANB_UADJ,Indian Bank (INDIANB) Unadjusted Stock Prices
XNSE/SPECTACLE_UADJ,Spectacle Ventures Ltd (SPECTACLE) Unadjusted Stock Prices
XNSE/TATACHEM_UADJ,Tata Chemicals Ltd. (TATACHEM) Unadjusted Stock Prices
XNSE/JPASSOCIAT_UADJ,Jaiprakash Associates Ltd. (JPASSOCIAT) Unadjusted Stock Prices
XNSE/SPYL_UADJ,Shekhawati Poly-Yarn Limited (SPYL) Unadjusted Stock Prices
XNSE/TIIL_UADJ,Technocraft Industries (India) Ltd. (TIIL) Unadjusted Stock Prices
XNSE/N1IIFLFIN_UADJ,India Infoline Finance Ltd (N1IIFLFIN) Unadjusted Stock Prices
XNSE/MAX_UADJ,Max Financial Services Ltd. (MAX) Unadjusted Stock Prices
XNSE/ATULAUTO_UADJ,Atul Auto Ltd. (ATULAUTO) Unadjusted Stock Prices
XNSE/SHASUNPHAR_UADJ,Shasun Pharmaceuticals Ltd (SHASUNPHAR) Unadjusted Stock Prices
